ticker,snapshot_date,articles,scored_articles,pos_hits,neg_hits,sentiment,thin,top_positive,top_negative,eightk_30d,eightk_90d,eightk_365d,days_since_8k,pulled_at
REGN,2026-09-21,44,20,4,16,-0.404,False,Regeneron Beats Investor Suit Over Medicare Drug Price Reporting - Bloomberg Law News,"MONDAY REGN INVESTOR DEADLINE: Regeneron Pharmaceuticals, Inc. Investors with Substantial Losses Have Opportunity to Lead Shareholder Class Action Lawsuit, Robbins Geller Rudman & Dowd LLP Announces - FinancialContent",0,2,9,53,2026-09-21 23:53:36.655915
RGNX,2026-09-21,17,4,2,2,0.514,False,"RGNX: Late-stage gene therapy programs advance toward commercialization, with strong data and funding - TradingView",Regenxbio’s Gene Therapy Faces Another FDA Setback in Hunter Syndrome - Yahoo Finance,2,5,12,27,2026-09-21 23:53:37.313346
RNAC,2026-09-21,5,1,1,0,1.0,True,Cartesian Therapeutics Announces New Employment Inducement Grants - GlobeNewswire,,0,1,14,46,2026-09-21 23:53:37.831636
RPRX,2026-09-21,34,13,4,9,-0.173,False,Wall Street Zen Upgrades Royalty Pharma (NASDAQ:RPRX) to Strong-Buy - marketbeat.com,Royalty Pharma (RPRX): Can Downside Protection Offset Pelacarsen’s Phase 3 Failure? - Yahoo Finance,0,1,9,47,2026-09-21 23:53:38.403780
RYTM,2026-09-21,14,0,0,0,0.0,True,,,0,2,15,48,2026-09-21 23:53:38.906842
SBFM,2026-09-21,1,0,0,0,0.0,True,,,3,6,14,5,2026-09-21 23:53:39.400773
SGIOF,2026-09-21,11,8,8,0,1.0,False,Why Shionogi (TSE:4507) Is Up 5.4% After Winning Pediatric Approval For VTAMA Cream – And What’s Next - Yahoo Finance,,0,0,0,,2026-09-21 23:53:40.134570
SHNTY,2026-09-21,2,0,0,0,0.0,True,,,0,0,0,,2026-09-21 23:53:40.700781
SIGA,2026-09-21,8,3,0,3,-1.0,True,,SIGA Technologies: A Risk Analysis - Seeking Alpha,0,1,6,46,2026-09-21 23:53:41.364391
SKBBY,2026-09-21,2,3,3,0,1.0,True,"Kelun-Biotech's Partner Windward Bio Announces Positive Phase 2 Results of SKB378/WIN378 in Asthma, and Initiates Phase 3 Study - Eastern Progress",,0,0,0,,2026-09-21 23:53:41.890785
SKM,2026-09-21,0,0,0,0,0.0,True,,,0,0,0,,2026-09-21 23:53:42.409457
SKYE,2026-09-21,11,1,0,1,-1.0,True,,5AM funds sell Skye Bioscience (SKYE) shares after reverse split - Stock Titan,2,6,17,10,2026-09-21 23:53:42.938056
SLDB,2026-09-21,11,4,3,1,0.575,False,Solid Biosciences wins new Outperform at RBC on DMD opportunity - Seeking Alpha,"RBC Initiates Solid Biosciences at Outperform, Speculative Risk With $18 Price Target - marketscreener.com",0,1,6,46,2026-09-21 23:53:43.461409
SMMT,2026-09-21,16,5,5,0,1.0,False,SMMT Stock Soars on NSCLC Drug Survival Data Beating Keytruda in China,,4,8,19,6,2026-09-21 23:53:44.149205
SNDX,2026-09-21,21,5,5,0,1.0,False,"Syndax Pharmaceuticals, Inc. (SNDX) Stock Analysis: Unveiling a 112% Potential Upside with a Strong Buy Consensus - DirectorsTalk Interviews",,0,2,11,48,2026-09-21 23:53:44.701806
SNY,2026-09-21,36,8,4,4,-0.089,False,Press Release: Sanofi and Cheplapharm to create new strategic partnership in mature medicines - GlobeNewswire,Sanofi: Information concerning the total number of voting rights and shares - August 2026 - Yahoo Finance,0,0,0,,2026-09-21 23:53:45.565245
SOGP,2026-09-21,0,0,0,0,0.0,True,,,0,0,0,,2026-09-21 16:45:08.851935
SPTX,2026-09-21,17,6,6,0,1.0,False,Seaport Therapeutics Reports Positive Topline Results from Phase 1 Driving Simulation Trial of GlyphAllo™ in Healthy Volunteers - Yahoo Finance,,0,1,3,49,2026-09-21 16:45:09.479067
SRPT,2026-09-21,16,3,0,3,-1.0,True,,"Sarepta Therapeutics Investigation Initiated: Kahn Swick & Foti, LLC Investigates the Officers and Directors of Sarepta Therapeutics, Inc. - SRPT - PR Newswire",0,2,11,47,2026-09-21 23:53:46.086126
SRRK,2026-09-21,8,10,10,0,1.0,False,Scholar Rock Holding (SRRK) Wins FDA Approval for ISEMBYLD. Can Add-On Use Scale?,,2,4,15,6,2026-09-21 23:53:46.615273
STOK,2026-09-21,20,4,2,2,0.523,False,"Stoke Therapeutics Announces Inducement Grants Under Nasdaq Listing Rule 5635(C)(4) - September 16, 2026 - BioSpace","Stoke Therapeutics and Biogen Present Long-Term Clinical Data that Support the Disease-Modifying Potential of Zorevunersen, an Investigational Medicine for the Treatment of Dravet Syndrome, at the 16th European Epilepsy ",0,3,13,49,2026-09-21 23:53:47.132904
SUNI,2026-09-21,5,0,0,0,0.0,True,,,0,0,3,98,2026-09-21 23:53:47.729372
SUPN,2026-09-21,10,4,2,2,0.029,False,Supernus Pharmaceuticals Inc (SUPN) Shares Surge 3.6% -- What GF Score of 87 Tells Investors - GuruFocus,Supernus at Wells Fargo conference: growth after patent losses By Investing.com - Investing.com Canada,0,5,17,49,2026-09-21 23:53:48.405970
SVA,2026-09-21,0,0,0,0,0.0,True,,,0,0,0,9461,2026-09-21 23:53:48.868008
SXTP,2026-09-21,0,0,0,0,0.0,True,,,2,6,16,7,2026-09-21 23:53:49.395892
TAK,2026-09-21,36,18,17,1,0.85,False,Takeda Pharmaceutical (TAK) Gets Priority Review. Can Zasocitinib Win in Psoriasis? - Yahoo Finance,Takeda Can't Decertify Amitiza Class After $885M Jury Loss - Law360,0,0,0,,2026-09-21 23:53:50.144856
TECX,2026-09-21,13,4,3,1,0.689,False,"Tectonic Therapeutic (TECX) grants 24,250 options to its CMO - Stock Titan",TECX Q2 2026 Earnings: Narrower Loss Delivers 14.62% EPS Surprise; Shares Slip 3.41% - Forward EPS Estimate - dars.gov.et,0,1,8,46,2026-09-21 23:53:50.675868
TGTX,2026-09-21,14,6,3,3,0.102,False,"TG Therapeutics, Inc. (TGTX) Stock Analysis: Strong Revenue Growth and Promising Potential Upside for Investors - DirectorsTalk Interviews",TGTX Stock Pares Opening Losses After Analyst Dismisses Competition From Novartis,0,1,9,49,2026-09-21 23:53:51.329100
TLTFF,2026-09-21,14,1,1,0,1.0,True,Cancer fighter Theralase aims to turn lab wins into human trials | 2026-09-15 | Investing News - Stockhouse,,0,0,0,,2026-09-21 23:53:51.852030
TPB,2026-09-21,5,1,0,1,-1.0,True,,"Turning Point Brands (TPB) Stock Dropped, So What Is Driving Attention Now?",1,2,8,0,2026-09-21 23:53:52.283421
TRAW,2026-09-21,0,0,0,0,0.0,True,,,0,4,21,38,2026-09-21 16:45:17.574693
TVRD,2026-09-21,0,0,0,0,0.0,True,,,0,4,13,38,2026-09-21 16:45:18.060813
TVTX,2026-09-21,52,1,1,0,1.0,True,Travere Therapeutics Reports Inducement Grants Under Nasdaq Listing Rule 5635(c)(4) - marketscreener.com,,1,3,13,0,2026-09-21 23:53:52.961536
TYRA,2026-09-21,54,9,3,6,-0.243,False,"Stock grant lifts Tyra Biosciences (NASDAQ: TYRA) finance VP stake to 11,258 shares - Stock Titan",Tyra Biosciences Stock Plunges 22% as Bladder Cancer Pill Fails to Impress,2,3,11,6,2026-09-21 23:53:53.436174
URGN,2026-09-21,13,4,4,0,1.0,False,UroGen Pharma advances with strong Zusduri sales and promising URGN-103 approval ahead - Pluang,,0,3,8,32,2026-09-21 23:53:54.270720
VERA,2026-09-21,25,11,10,1,0.807,False,Vera set for full FDA approval of Trutakna after late-stage trial win - Seeking Alpha,"VERA Stock Jumps 16% Premarket – Trutakna Cuts Kidney Disease Progression Risk By 76%, Full FDA Filing Planned In Q4 - TradingView",1,4,14,6,2026-09-21 23:53:54.863878
VERX,2026-09-21,5,0,0,0,0.0,True,,,0,1,8,49,2026-09-21 23:53:55.523264
VIR,2026-09-21,14,1,1,0,1.0,True,"WINTON GROUP Ltd Trims Stake in Vir Biotechnology, Inc. $VIR - marketbeat.com",,0,2,13,47,2026-09-21 23:53:56.046678
VNDA,2026-09-21,9,2,1,1,-0.6,True,DC’s Vanda Pharmaceuticals Wins EU Orphan Status for Its Rare Skin Disease Drug - BioBuzz,Vanda Pharmaceuticals stock slips as 2025 loss widens - AD HOC NEWS,0,1,15,47,2026-09-21 23:53:56.569027
VRTX,2026-09-21,8,1,1,0,1.0,True,"Vertex Pharmaceuticals (VRTX) executive gets 8,682-share stock grant - Stock Titan",,1,3,9,20,2026-09-21 23:53:56.990384
VSTM,2026-09-21,13,1,0,1,-1.0,True,,Verastem Repeat Insider Selling Not A Positive Indicator - Moomoo,0,3,15,45,2026-09-21 23:53:57.622602
XENE,2026-09-21,51,15,1,14,-0.836,False,Why Xenon Pharmaceuticals (XENE) Is Down 32.2% After Pausing Psychiatry Trials Despite Positive NDA Data - Yahoo Finance,Xenon Stock Craters 30% on Drug Trial Setback. Its Failure Could Be This Biotech’s Gain.,0,1,13,46,2026-09-21 23:53:58.153176
ZBIO,2026-09-21,0,0,0,0,0.0,True,,,0,1,10,39,2026-09-21 23:53:58.799786
ZLAB,2026-09-21,1,0,0,0,0.0,True,,,0,1,7,46,2026-09-21 23:53:59.198872
ZURA,2026-09-21,1,1,0,1,-1.0,True,,Zura Bio (ZURA) Hits Enrollment Milestones As Losses Widen Sharply,0,3,21,35,2026-09-21 23:53:59.712141
ZYME,2026-09-21,18,1,1,0,1.0,True,Zymeworks stock gains on merger approval and a $41 target - AD HOC NEWS,,1,3,13,27,2026-09-21 23:54:00.390628
ABBV,2026-09-22,81,27,24,3,0.922,False,AbbVie's Rinvoq Wins EU Approval in Juvenile Idiopathic Arthritis - Yahoo Finance,"AbbVie's blood cancer therapy lowers disease progression, death risk in trial - Reuters",1,5,15,19,2026-09-22 13:23:34.558709
ABCL,2026-09-22,13,2,2,0,1.0,True,ABCL Stock Surges 121% in 3 Months: Here's What You Need to Know - Yahoo Finance,,0,6,16,40,2026-09-22 13:23:35.238433
ABVX,2026-09-22,29,9,3,6,-0.437,False,Abivax SA Sponsored ADR (ABVX) Upgraded to Buy: Here's Why - Eastern Progress,Abivax (NASDAQ:ABVX) Shares Down 3.4% Following Weak Earnings - MarketBeat,0,0,0,,2026-09-22 13:23:35.974544
ACLX,2026-09-22,0,0,0,0,0.0,True,,,,,,,2026-09-22 13:23:36.983832
ADAG,2026-09-22,19,7,6,1,0.561,False,Adagene (ADAG) Upgraded to Buy: Here's What You Should Know - Eastern Progress,Adagene Announces NMPA Clearance of Investigational New - GlobeNewswire,0,0,0,,2026-09-22 13:23:37.509887
ALKS,2026-09-22,10,3,3,0,1.0,True,Alkermes Posts Positive Data From Phase I ADHD Study on ALKS 7290,,2,6,20,1,2026-09-22 13:23:39.270335
AMGN,2026-09-22,90,35,21,14,0.537,False,AMGEN ANNOUNCES POSITIVE TOPLINE PHASE 3 RESULTS FOR DAZODALIBEP IN MODERATE-TO-SEVERE SYSTEMIC SJÖGREN'S DISEASE - PR Newswire,Amgen Falls 10% as Novartis Trial Failure Clouds a Cholesterol Drug Class; NVS Stock Drops 14% - Yahoo Finance,0,2,10,49,2026-09-22 13:23:40.519417
ANNX,2026-09-22,5,3,3,0,1.0,True,Annexon Reports Inducement Grants to New Employees Under Nasdaq Listing Rule 5635(c)(4) - Yahoo Finance,,0,4,12,41,2026-09-22 13:23:41.185683
APOG,2026-09-22,20,10,5,5,0.407,False,AbbVie Completes Acquisition of Apogee Therapeutics - Yahoo Finance,"Apogee Therapeutics, Inc.(NasdaqGM: APGE) dropped from S&P TMI Index - marketscreener.com",2,6,15,8,2026-09-22 13:23:41.849242
ARDX,2026-09-22,32,13,0,13,-1.0,False,,Investors in Ardelyx face lawsuit over alleged misleading revenue guidance and stock drop. - Pluang,0,3,10,36,2026-09-22 13:23:42.534365
ARGX,2026-09-22,22,5,5,0,1.0,False,2 Wall Street Analysts Think Argenx Can Soar More Than 40%. Here's Why They're Right. - Yahoo Finance,,0,0,0,,2026-09-22 13:23:43.278149
AURA,2026-09-22,8,4,2,2,-0.418,False,Aura Biosciences Announces Inducement Grants under Nasdaq Listing Rule 5635(c)(4) - GlobeNewswire,AURA Q2 2026 Earnings: Wider-Than-Expected Loss as Clinical-Stage Biotech Misses EPS Estimate - Low Growth Earnings - dars.gov.et,0,3,10,42,2026-09-22 13:23:44.552727
AZN,2026-09-22,56,30,22,8,0.596,False,Enhertu recommended for approval in the EU by CHMP as adjuvant treatment for patients with residual disease after neoadjuvant treatment for HER2-positive early breast cancer - AstraZeneca,"Stripped of AstraZeneca safety net, BMS could face ‘carnage’ if high-risk clinical trial fails - BioSpace",0,0,0,,2026-09-22 13:23:47.359472
BCDA,2026-09-22,10,0,0,0,0.0,True,,,3,5,32,1,2026-09-22 13:23:49.305982
BFRI,2026-09-22,12,16,15,1,0.963,False,Biofrontera wins FDA approval for Ameluz to treat skin cancer - Investing.com,,1,2,15,8,2026-09-22 13:23:50.624990
BIIB,2026-09-22,28,9,6,3,0.416,False,Biogen (BIIB) Wins China Approval For At Home Weekly Alzheimer’s Treatment - simplywall.st,Biogen stock heads into the open after a 1.6 percent decline - AD HOC NEWS,0,2,14,55,2026-09-22 13:23:51.977212
BMEA,2026-09-22,10,4,2,2,-0.717,False,BMEA Surges 6.85%: Biomea Fusion Approaches Key $1.88 Resistance - Box Spread - careplusvn.com,"Biomea Fusion, Inc.(NasdaqGS: BMEA) dropped from S&P Global BMI Index - marketscreener.com",0,1,10,48,2026-09-22 13:23:53.512889
BNTX,2026-09-22,55,13,8,5,0.166,False,Moderna Surges 9% as Phase 3 Melanoma Data Wins Presidential Symposium Slot; Merck and BioNTech Edge Higher,BioNTech Stock Recently Got Downgraded. But Is Wall Street Underestimating Its Cancer Pipeline? - Currently.com,0,0,0,,2026-09-22 13:23:55.172880
BRTX,2026-09-22,6,3,0,3,-1.0,True,,BioRestorative Therapies Announces Reverse Stock Split - Ortho Spine News,5,7,16,11,2026-09-22 13:23:56.632502
BTAI,2026-09-22,39,13,0,13,-1.0,False,,BioXcel Therapeutics Received Notice of Delisting - TradingView,,,,,2026-09-22 13:23:57.446209
CAPR,2026-09-22,56,28,4,24,-0.89,False,CAPR Stock Skyrockets 144% in a Month: What Is Driving the Rally? - TradingView,"CAPR INVESTOR DEADLINE: Capricor Therapeutics, Inc. Investors with Substantial Losses Have Opportunity to Lead Shareholder Class Action Lawsuit Before September 28, 2026 Deadline - newsfilecorp.com",1,6,15,29,2026-09-22 13:23:59.032860
CGEN,2026-09-22,8,0,0,0,0.0,True,,,0,0,0,,2026-09-22 00:38:55.790880
CL,2026-09-22,51,3,2,1,0.144,True,Colgate Palmolive (India) stock gains after strong Q1 results and Piper Sandler target cut - AD HOC NEWS,Colgate-Palmolive stock heads into the open after a 1.38 percent drop - AD HOC NEWS,0,1,9,53,2026-09-22 00:38:57.118394
CLDX,2026-09-22,24,7,4,3,0.143,False,Celldex monoclonal antibody rebounds with pair of phase 3 wins for chronic skin condition - Fierce Biotech,"CLDX Stock Slumps 11% – This Analyst Sees Nearly 90% Upside, Calls Phase 3 Trial Safety Concerns ‘Misplaced’ - TradingView",1,4,8,0,2026-09-22 13:24:01.489071
CMND,2026-09-22,27,5,5,0,1.0,False,"Clearmind Medicine Receives Yale IRB Approval, Enabling Patient Recruitment for Parts B and C of CMND-100 Phase I/II Trial, Following Positive Safety Results - The Manila Times",,0,0,0,,2026-09-22 13:24:02.169866
CNTB,2026-09-22,1,1,0,1,-1.0,True,,Connect Biopharma Rademikibart Phase 2 Data Shows Lung Function Improvement but Primary Endpoint Misses Significance,1,2,8,7,2026-09-22 13:24:02.682959
DBVT,2026-09-22,19,5,2,3,-0.164,False,DBV Technologies (DBVT) Soars 5.3%: Is Further Upside Left in the Stock? - Eastern Progress,DBVT Slides As DBV Technologies Leads European Biotech Declines - timothysykes.com,0,2,12,68,2026-09-22 00:39:04.759640
DCTH,2026-09-22,11,2,2,0,1.0,True,Wall Street Analysts Believe Delcath Systems (DCTH) Could Rally 52.44%: Here's is How to Trade - Eastern Progress,,0,2,10,39,2026-09-22 13:24:07.411109
ENLV,2026-09-22,3,2,0,2,-1.0,True,,Enlivex terminates securities deal with Rain Foundation By Investing.com - Investing.com Canada,0,0,0,,2026-09-22 13:24:10.614747
ENTA,2026-09-22,3,0,0,0,0.0,True,,,0,2,12,43,2026-09-22 13:24:11.376579
EWTX,2026-09-22,12,2,2,0,1.0,True,EWTX: EDG-7500 improves cardiac relaxation in HCM and advances to Phase 3 after positive Phase 2 data - TradingView,,0,3,10,47,2026-09-22 13:24:12.654808
GEHC,2026-09-22,47,3,0,3,-1.0,True,,Securities Fraud Investigation Into GE HealthCare - GlobeNewswire,0,4,12,35,2026-09-22 13:24:14.139414
GILD,2026-09-22,50,8,5,3,0.236,False,Gilead Sciences Just Won Its Third FDA Approval in Less Than 4 Months. Is the Stock Still Underrating This Turnaround Play? - Yahoo Finance,THNR's Weight-Loss Index Swaps Hims & Hers for Gilead - ETF Database,0,1,10,49,2026-09-22 13:24:14.789849
GNLX,2026-09-22,5,0,0,0,0.0,True,,,0,0,6,92,2026-09-22 13:24:16.754036
GRCE,2026-09-22,0,0,0,0,0.0,True,,,1,4,13,4,2026-09-22 13:24:17.445168
HELP,2026-09-22,3,0,0,0,0.0,True,,,0,0,0,,2026-09-22 13:24:17.893071
IDYA,2026-09-22,19,3,2,1,-0.567,True,Citizens upgrades Ideaya Biosciences stock rating on IDE849 progress - Investing.com,How (IDYA) Movements Inform Risk Allocation Models - Stock Traders Daily,0,1,16,49,2026-09-22 00:39:16.277069
IMVT,2026-09-22,2,0,0,0,0.0,True,,,1,2,8,19,2026-09-22 13:24:20.174089
INCY,2026-09-22,21,4,3,1,0.24,False,Incyte Corporation (INCY) Stock Analysis: Navigating Biotech Growth with a 37.7% Revenue Surge - DirectorsTalk Interviews,"Incyte's Colorectal Cancer Program Remains Risky, Long-Term, RBC Says",1,3,14,22,2026-09-22 13:24:20.874591
IONS,2026-09-22,35,17,11,6,0.155,False,Ionis Drug Wins FDA Approval as First Alexander Disease Treatment - Yahoo Finance,Ionis Pharmaceuticals Eyes TRYNGOLZA Growth as Pipeline Faces Cardio Setbacks - Yahoo Finance,2,6,20,18,2026-09-22 13:24:22.635766
IRON,2026-09-22,40,7,5,2,0.22,False,Disc Medicine Reports Positive Initial RESTORE-PV Results for DISC-3405 in Polycythemia Vera - Quiver Quantitative,"Rosen Law Firm Encourages Disc Medicine, Inc. Investors to Inquire About Securities Class Action Investigation - IRON - PR Newswire",1,4,16,12,2026-09-22 13:24:23.938352
JAZZ,2026-09-22,45,8,8,0,1.0,False,Jazz Pharmaceuticals debt upgraded by S&P on stronger recovery - Investing.com,,3,7,15,7,2026-09-22 13:24:24.722478
KARD,2026-09-22,3,0,0,0,0.0,True,,,0,1,2,42,2026-09-22 13:24:25.408893
KOD,2026-09-22,5,0,0,0,0.0,True,,,0,1,7,40,2026-09-22 13:24:25.948857
KPTI,2026-09-22,8,4,4,0,1.0,False,Karyopharm Seeks FDA Approval for XPOVIO Plus Ruxolitinib in Myelofibrosis - Cure Today,,3,6,17,4,2026-09-22 13:24:27.343291
KRYS,2026-09-22,30,12,11,1,0.68,False,"Rossi Dino A Granted 1,658 Derivative Securities of Krystal Biotech, Inc. on September 14, 2026 - Kalkine Media",Precision Trading with Krystal Biotech Inc. (KRYS) Risk Zones - Stock Traders Daily,0,2,10,50,2026-09-22 13:24:28.092422
LLY,2026-09-22,54,9,4,5,-0.318,False,What Lilly Stock's Breast Cancer Drug Approval Means For Shareholders - simplywall.st,Novo Nordisk and Eli Lilly are being sued over weight loss drugs' link to vision loss - qz.com,0,1,7,48,2026-09-22 13:24:28.921985
LXEO,2026-09-22,14,0,0,0,0.0,True,,,1,3,13,0,2026-09-22 13:24:30.295060
MCUJF,2026-09-22,15,2,0,2,-1.0,True,,Medicure Inc. Stock Under Pressure After 4.67% Decline: Is Weak Sentiment Signaling Further Downside? - kalkine.ca,0,0,0,,2026-09-22 13:24:32.363654
MDWD,2026-09-22,7,1,0,1,-1.0,True,,Reviewers found no safety concerns in MediWound's wound trial. - Stock Titan,0,0,0,,2026-09-22 13:24:33.625264
MRK,2026-09-22,4,0,0,0,0.0,True,,,0,1,7,49,2026-09-22 13:24:36.271872
NAMS,2026-09-22,33,14,9,5,0.459,False,NewAmsterdam Pharma wins EU approval for obicetrapib as Ubeslo and Evlarco - TradingView,Stifel reiterates Buy on NewAmsterdam Pharma stock after trial failure By Investing.com - Investing.com Australia,1,6,13,1,2026-09-22 13:24:36.949433
NTHI,2026-09-22,3,4,1,3,-0.356,False,"NeOnc Executives Invest Approximately $629,000 in Open-Market Stock Purchases Following Positive NEO100 Phase 2a Results","NeOnc Technologies Holdings, Inc. Announces Pricing of $15 Million Registered Direct Offering Priced At-The-Market Under Nasdaq Rules with New and Existing Institutional Investors",3,10,34,1,2026-09-22 13:24:38.871157
NTLA,2026-09-22,32,17,14,3,0.834,False,Intellia Therapeutics Shares Rise as FDA Grants Priority Review to Lonvo-z,Intellia Therapeutics Secures Non-Dilutive Debt Facility with OrbiMed for up to $400 Million - Yahoo Finance,2,3,18,14,2026-09-22 13:24:39.487152
NUVB,2026-09-22,18,6,6,0,1.0,False,Nuvation Bio Announces FDA Approval of Supplemental New Drug Application for IBTROZI® (taletrectinib) with Updated Duration of Response in TKI-Naïve Advanced ROS1-Positive Non-Small Cell Lung Cancer - PR Newswire,,0,3,10,47,2026-09-22 13:24:40.108231
NVO,2026-09-22,97,31,3,28,-0.839,False,Novo Nordisk says Wegovy approved in China for liver disease MASH - Reuters,"Novo-Nordisk A/S's weight-loss drug CagriSema has ""hit a wall""! A 12.4% weight loss failed to allay market concerns. - 富途牛牛",0,0,0,,2026-09-22 13:24:40.998822
NVS,2026-09-22,8,6,1,5,-0.566,False,NVS Gets Positive CHMP Opinion for Cosentyx for Another Indication,Novartis halts ALS drug development after mid-stage trial failure - Reuters,0,0,0,,2026-09-22 13:24:41.758768
OCGN,2026-09-22,26,0,0,0,0.0,True,,,1,3,21,14,2026-09-22 13:24:42.423731
OCS,2026-09-22,11,2,0,2,-1.0,True,,Oculis Holding AG: Navigating Through Major Trial Setback (NASDAQ:OCS) - Seeking Alpha,0,0,0,,2026-09-22 13:24:43.414769
OGN,2026-09-22,5,1,1,0,1.0,True,Organon (OGN) Wins FDA Review Acceptance For Its Hormone Free Contraceptive Device,,0,3,12,53,2026-09-22 13:24:44.772376
OLMA,2026-09-22,17,5,3,2,-0.312,False,Olema Pharmaceuticals (NASDAQ: OLMA) grants CFO 650K options expiring in 2036 - Stock Titan,Olema Pharmaceuticals (OLMA) Shares Drop 15% After AstraZeneca B - GuruFocus,0,2,15,40,2026-09-22 13:24:45.339794
ONC,2026-09-22,22,7,7,0,1.0,False,FDA Approval Marks A Turning Point For BeOne Medicines (ONC) - Yahoo Finance,,1,3,12,27,2026-09-22 13:24:45.992903
ORIC,2026-09-22,12,4,3,1,0.287,False,Oric Pharmaceuticals (ORIC) Stock Analysis: A 60% Upside Potential with Strong Buy Ratings in Biotech - DirectorsTalk Interviews,ORIC Falls After Hours On Safety Concerns Around Prostate Cancer Candidate At Higher Doses - Stocktwits,0,2,10,50,2026-09-22 13:24:46.572022
PCRX,2026-09-22,2,1,1,0,1.0,True,Pacira BioSciences Reports Inducement Grants Under Nasdaq Listing Rule 5635(c)(4) - markets.businessinsider.com,,0,2,8,49,2026-09-22 13:24:47.507011
PCVX,2026-09-22,33,3,1,2,-0.309,True,Vaxcyte stock holds near recent highs as OPUS-1 Phase 3 data window narrows - AD HOC NEWS,Vaxcyte Has $2.5 Billion in Cash and a $605 Million Half-Year Loss. Here's How to Read Its CFO's Latest Insider Filing - The Motley Fool,1,3,12,19,2026-09-22 13:24:48.311880
PEPG,2026-09-22,4,5,3,2,0.223,False,"PEPG Q2 2026 Earnings: Narrower Loss Beats Estimates, Shares Rise 4.35% - Consensus Beat Rate - dars.gov.et",PEPG Q2 2026 Earnings: Narrower-Than-Expected Loss Drives 3.34% Bounce - Earnings Miss Streak - careplusvn.com,0,1,13,47,2026-09-22 13:24:48.853412
PFE,2026-09-22,68,7,3,4,-0.615,False,Pfizer (PFE) After FDA Vaccine Approval Faces A Fair Value Reality Check - Yahoo Finance,Pfizer Refocuses Growth Strategy as New Products Offset COVID Decline - Yahoo Finance,0,1,10,49,2026-09-22 13:24:49.549057
PHAT,2026-09-22,4,1,0,1,-1.0,True,,"PHAT Investors Have Opportunity to Join Phathom Pharmaceuticals, Inc. Fraud Investigation with SBS Law - The National Law Review",0,1,11,54,2026-09-22 00:39:43.444547
PMVP,2026-09-22,9,0,0,0,0.0,True,,,2,3,7,20,2026-09-22 13:24:51.279691
PRAX,2026-09-22,6,5,5,0,1.0,False,Praxis Precision Medicines: Still Potential Upside After Huge Rally (Rating Upgrade) - Seeking Alpha,,0,4,22,47,2026-09-22 13:24:51.978194
QNRX,2026-09-22,22,11,8,3,0.382,False,Quoin in line for priority review voucher if rare paediatric drug approved,Potential dilution looms as Quoin (NASDAQ: QNRX) registers ADS resales tied to warrant exercises - Stock Titan,2,4,15,12,2026-09-22 13:24:52.524232
RARE,2026-09-22,68,70,57,13,0.87,False,Ultragenyx's $4 million gene therapy wins FDA approval for a rare brain and nervous system disorder - The Business Journals,Ultragenyx drops on Phase 3 trial failure for Angelman syndrome drug (RARE:NASDAQ) - Seeking Alpha,2,5,19,5,2026-09-22 13:24:53.100260
RCUS,2026-09-22,15,5,4,1,0.608,False,Arcus Biosciences Announces New Employment Inducement Grants - marketscreener.com,,0,1,12,48,2026-09-22 13:24:53.745466
REGN,2026-09-22,46,19,4,15,-0.446,False,Regeneron Beats Investor Suit Over Medicare Drug Price Reporting - Bloomberg Law News,"MONDAY REGN INVESTOR DEADLINE: Regeneron Pharmaceuticals, Inc. Investors with Substantial Losses Have Opportunity to Lead Shareholder Class Action Lawsuit, Robbins Geller Rudman & Dowd LLP Announces - FinancialContent",0,2,9,54,2026-09-22 13:24:54.302376
RYTM,2026-09-22,12,1,1,0,1.0,True,Rhythm Pharmaceuticals Announces Health Canada Approval of IMCIVREE® (setmelanotide) for Weight Management in Adult and Pediatric Patients 4 years of Age and Older with Acquired Hypothalamic Obesity - The Manila Times,,0,2,15,49,2026-09-22 13:24:56.423058
SKYE,2026-09-22,11,1,0,1,-1.0,True,,5AM funds sell Skye Bioscience (SKYE) shares after reverse split - Stock Titan,2,5,17,11,2026-09-22 13:24:59.326780
SLN,2026-09-22,2,0,0,0,0.0,True,,,0,4,15,41,2026-09-22 13:25:00.030504
SNY,2026-09-22,37,7,4,3,0.146,False,Press Release: Sanofi and Cheplapharm to create new strategic partnership in mature medicines - GlobeNewswire,Sanofi: Information concerning the total number of voting rights and shares - August 2026 - Yahoo Finance,0,0,0,,2026-09-22 13:25:02.086238
SRPT,2026-09-22,15,2,0,2,-1.0,True,,"Sarepta Therapeutics Investigation Initiated: Kahn Swick & Foti, LLC Investigates the Officers and Directors of Sarepta Therapeutics, Inc. - SRPT - PR Newswire",0,2,11,48,2026-09-22 13:25:03.414738
SUPN,2026-09-22,6,2,1,1,0.333,True,Supernus Pharmaceuticals Inc (SUPN) Shares Surge 3.6% -- What GF Score of 87 Tells Investors - GuruFocus,Supernus at Wells Fargo conference: growth after patent losses By Investing.com - Investing.com Canada,0,5,17,50,2026-09-22 13:25:05.434106
SYRE,2026-09-22,28,7,5,2,0.675,False,Spyre Therapeutics Announces Grants of Inducement Awards - The Manila Times,"Spyre Therapeutics (SYRE) Advances 2.12% to $90.87, Holding Above Key Support - Risk Parity Rebalance - careplusvn.com",2,3,15,14,2026-09-22 13:25:07.191094
