ticker,snapshot_date,articles,scored_articles,pos_hits,neg_hits,sentiment,thin,top_positive,top_negative,eightk_30d,eightk_90d,eightk_365d,days_since_8k,pulled_at
CADL,2026-09-21,20,10,5,5,0.287,False,Candel Therapeutics stock jumps on BofA upgrade to buy - Investing.com,CADL Q2 2026 Earnings: EPS of -$0.52 Misses Consensus by 115.41% as Shares Decline 3.41% - Quarterly Financial Update - careplusvn.com,2,4,13,11,2026-09-21 23:52:46.582145
CAPR,2026-09-21,55,31,4,27,-0.894,False,CAPR Stock Skyrockets 144% in a Month: What Is Driving the Rally? - TradingView,"1 WEEK CAPR INVESTOR DEADLINE: Capricor Therapeutics, Inc. Investors with Substantial Losses Have Opportunity to Lead Class Action Lawsuit - PR Newswire",1,6,15,28,2026-09-21 23:52:47.372855
CELZ,2026-09-21,5,0,0,0,0.0,True,,,1,2,6,21,2026-09-21 23:52:47.763293
CGEM,2026-09-21,32,2,2,0,1.0,True,Cullinan Therapeutics (NASDAQ:CGEM) Price Target Raised to $40.00 at BTIG Research - marketbeat.com,,1,3,14,7,2026-09-21 23:52:48.415095
CGEN,2026-09-21,10,2,2,0,1.0,True,All You Need to Know About Compugen (CGEN) Rating Upgrade to Buy - Yahoo Finance,,0,0,0,,2026-09-21 23:52:48.937001
CGON,2026-09-21,10,1,1,0,1.0,True,"CGON: Durable efficacy, operational simplicity, and pivotal trial catalysts drive strong outlook - TradingView",,0,1,11,46,2026-09-21 23:52:49.460966
CL,2026-09-21,50,2,2,0,1.0,True,Colgate Palmolive (India) stock gains after strong Q1 results and Piper Sandler target cut - AD HOC NEWS,,0,1,9,52,2026-09-21 23:52:50.282890
CLDX,2026-09-21,4,0,0,0,0.0,True,,,0,3,7,46,2026-09-21 23:52:50.820321
COCP,2026-09-21,9,0,0,0,0.0,True,,,1,5,20,12,2026-09-21 23:52:51.553051
COGT,2026-09-21,17,2,1,1,0.496,True,Cogent Bio wins third FDA review for lead asset (COGT:NASDAQ) - Seeking Alpha,How (COGT) Movements Inform Risk Allocation Models - Stock Traders Daily,1,3,11,19,2026-09-21 23:52:52.081286
CORT,2026-09-21,29,9,7,2,0.505,False,"Corcept Therapeutics shares surge 22% after Q2 beat, guidance raise - scanx.trade","Corcept Therapeutics (CORT) Dropped, So What Is Behind The Latest Attention? - simplywall.st",0,1,13,54,2026-09-21 23:52:52.662520
